"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,42997926,42997926,1,10857200000,1348500000,12050100000,4136800000,-1192900000,0,0,1609200000,0,1320600000,-2310300000,-2310300000,-54.26,-54.26,0,218200000,-197000000,57500000,78700000,439700000,192800000,1.85,3.44,0.26,None,-0.273,-27.74,None,None,435.75,None,None,None,None,0.52,0.59,0.326
2018-12-31,42999904,42999904,1,10257900000,1256200000,12177200000,11457700000,-1919300000,0,0,3986800000,72800000,1393800000,-549200000,-549200000,-12.89,-12.89,0,256900000,103500000,-36700000,323700000,361000000,217000000,3.52,5.27,1.77,None,-0.0676,-44.63,None,None,435.75,None,None,None,None,0.53,0.93,0.1096
2018-09-30,42935942,42935942,1,10710100000,957600000,12071000000,1374700000,-1360900000,0,0,4177100000,10207800000,1420600000,41300000,41300000,0.97,0.97,0,216500000,-205000000,-19500000,-8000000,37300000,196900000,4.32,5.61,3.03,None,-0.1843,-31.7,None,None,435.75,None,None,None,None,0.89,0.46,0.6966
2018-06-30,42938115,42938115,1,10839800000,935200000,12246300000,1341500000,-1406500000,0,0,4223300000,10408400000,1444400000,-93700000,-93700000,-2.3,-2.3,0,300400000,-197900000,-117700000,-15200000,45300000,188700000,4.36,7.49,1.22,None,-0.1878,-32.76,None,None,435.75,None,None,None,None,0.74,2.6,0.6971
2018-03-31,204577765,40915553,0.2,10981300000,943500000,12318500000,1288000000,-1337200000,0,0,4273900000,10522100000,1454300000,-121400000,-121400000,-0.65,-0.65,0,239300000,-254800000,32600000,17100000,60500000,217600000,8.03,9.65,6.4,None,-0.1783,-32.68,None,None,435.75,None,None,None,None,0.6,0.53,0.7325
2017-12-31,183335244,36667048,0.2,11084300000,932500000,12383200000,1543400000,-1298900000,0,0,4296800000,10317900000,5393400000,-1835700000,-1835700000,-10.26,-10.26,0,325300000,-191300000,-147100000,-13100000,43400000,184400000,11.18,13.65,8.7,None,-0.1706,-35.42,0.78,None,435.75,None,None,None,None,0.47,3.84,0.6042
2017-09-30,182904630,36580926,0.2,12928600000,1008800000,12407400000,1311300000,521200000,0,0,6208200000,10550000000,147600000,-101500000,-101500000,-0.55,-0.55,0,271700000,-277300000,37400000,31800000,56500000,216400000,14.43,20.2,8.65,-0.7239,-0.0292,14.25,0.87,None,435.75,None,20.2417,0.0403,None,0.14,1.51,0.7693
2017-06-30,190828151,38165630,0.2,12706200000,926900000,12076000000,1227800000,630200000,0,0,6077900000,10300500000,160500000,-68100000,-68800000,-0.37,-0.37,0.15,221200000,-273700000,25700000,-26800000,24700000,264400000,24.02,28.8,19.25,-0.7563,-0.027,16.51,1.27,None,435.75,None,16.3448,0.0496,None,0.24,-1.13,0.7549
2017-03-31,190494304,38098860,0.2,12904200000,963100000,12181800000,1301000000,722400000,0,0,6267900000,10246900000,151400000,-111300000,-111900000,-0.89,-0.89,0.15,132500000,-240900000,100800000,-7600000,51500000,243400000,33.77,41.75,25.8,-0.7215,-0.0218,18.96,3.86,None,435,None,14.1845,0.056,None,0.34,-2.91,0.7403
2016-12-31,97288913,19457782,0.2,11770000000,866900000,11600000000,1254600000,170000000,0,0,5534100000,9680600000,1309100000,-86900000,-87700000,-0.9,-0.9,0.15,302300000,-236400000,-68200000,-2300000,59100000,236400000,41.83,50.5,33.15,None,-0.0319,8.74,3.21,None,434.25,None,56.9447,0.0144,None,0.45,3.39,0.691
2016-09-30,96114653,19222930,0.2,11823600000,921000000,11573300000,1148400000,250300000,0,0,5578900000,9728400000,1344900000,-66200000,-66800000,-0.72,-0.72,0.15,197600000,-245200000,67400000,19800000,61400000,243000000,46.47,52.3,40.65,-0.5175,-0.0128,13.02,2.72,None,433.5,None,38.867,0.0212,None,0.38,-2.36,0.802
2016-06-30,96264774,19252954,0.2,11821600000,871700000,11492400000,1120000000,329200000,0,0,5625000000,9650000000,1359600000,1500000,900000,0.01,0.01,0.15,297300000,-250800000,-79500000,-33000000,41600000,246500000,41.7,47.5,35.9,-0.3458,-0.0078,17.1,2.38,None,432.75,None,29.3135,0.0278,None,0.39,2.64,0.7783
