0
A
AMR
AAN
AAP
AAPL
ABBV
ABC
ABI
ABMD
ABT
ACAS
ACC
ACIW
ACM
ACN
ACS
ACV
ADBE
ADCT
ADI
ADM
ADP
ADS
ADSK
ADT
AEE
AEO
AEP
AES
AET
AFG
AFL
AGCO
AGN
WPI
AHL
AIG
AIV
AIZ
AJG
AKAM
AKRX
ALB
ALEX
ALGN
ALK
ALL
ALLE
ALTR
ALXN
AMAT
ABK
AMCX
AMD
AME
AMG
AMGN
AMP
AMSC
AMT
AMZN
AN
TSO
ANDW
ANF
ANR
ANSS
WLP
AOC
AOS
APA
APC
APD
APH
APOL
APU
ARE
ARG
AA
ARRS
ARW
ASH
DV
ATI
ATVI
AVB
AVGO
AVP
AVY
AW
AWK
AXP
AYE
AYI
AZO
BA
BAC
BAX
BBBY
BBT
BBY
BC
BCR
BDK
BDX
FO
BEN
BFB
BHF
BHI
BIG
BIIB
BJS
BK
BKE
PCLN
BLK
BLL
BMC
BMS
BMY
BNI
BRCM
BRK
BRL
BRLI
BSC
BSX
BTU
BUD
BWA
BXP
C
CA
CAG
CAH
CAM
CAT
ACE
CB
CBE
CBOE
CBG
CBS
CCE
CCE
CCI
CCL
CCU
CDNS
CEG
CELG
CERN
CF
CFC
CFG
CFN
CHD
CHK
CHRW
CI
CIEN
CINF
CIT
CL
CLF
CLX
CMA
CMCS
CME
CMG
CMI
CMS
CMVT
CNC
CNO
CNP
CNX
COF
COG
COL
COO
COP
COST
COTY
COV
CPB
CPN
KORS
CPWR
CR
CRA
CRM
CRVL
CSCO
CSRA
CSX
CTAS
CTL
CTSH
CTX
CTXS
CVC
CVG
CVH
CVS
CVX
CXO
D
DAL
DCI
DD
DDS
DE
DELL
DF
DFS
DG
DGX
DHI
DHR
DIS
DISC
DISH
DLPH
DLR
DLTR
DNB
DNR
DO
DOV
DPS
DRE
DRI
DTE
DTV
DUK
DVA
DVN
DOW
CSC
DYN
ERTS
EBAY
ECL
ED
EDS
EFX
EIX
EL
EMC
EMN
EMR
ENDP
EOG
EP
EQ
EQIX
EQR
EQT
NU
ESRX
ESS
ESV
ETFC
ETN
ETR
EW
EXC
EXPD
EXPE
EXR
F
FAST
FB
FBHS
FCX
FDO
FDS
FDX
FE
FFIV
FHN
FII
FIS
FISV
FITB
FL
FLIR
FLR
FLS
FMC
FRE
FNM
FOSL
NWS
FRT
FRX
FSLR
FTI
CZN
FTV
GAS
GAS
GCI
GD
GE
GENZ
GGP
GGP
WPO
GILD
GIS
GLAD
GLW
GM
GM
GME
GNW
GOOG
GPC
GPN
GPS
GR
GRA
GRMN
GS
GT
GWW
HAL
HAR
HAS
HBAN
HBI
HCA
HCBK
HCP
HD
HES
HIBB
HIG
HLT
HNZ
HOG
HOLX
HON
HOT
HP
HPC
HPE
HPQ
HRB
HRL
HRS
SLE
HSIC
HSP
HST
HSY
HUM
IACI
IBM
ICE
NYX
IDXX
IFF
IGT
ILMN
INCY
INFO
INTC
INTU
IP
IPG
Q
IR
IRM
ISRG
IT
ITT
ITW
IVZ
JAVA
JBHT
JBL
JCI
JCP
JEC
LUK
JNJ
JNPR
JNS
JNY
JPM
JWN
K
LIZ
KBH
KEY
KG
KHC
KIM
KLAC
KMB
KMI
KMX
KO
EK
KR
KRFT
KSS
KSU
LTR
LTD
SAI
LEG
LEH
LEN
LH
LIFE
LKQ
LLL
LLTC
LLY
LM
LMT
LNC
LNKD
LNT
LOW
LRCX
LSI
LSTR
LUV
LVLT
LXK
LYB
M
MA
MAA
MAC
MAR
MAS
MAT
MBI
MCD
MCHP
MCK
MCO
KFT
MDP
MDT
MED
MER
MET
MFE
MGM
MHK
MHS
MI
MIL
MJN
MKC
MLM
MMC
MMM
MNK
MNST
MO
MOLX
MON
MOS
MPC
MRK
MRO
MS
MSFT
MOT
MTB
MTD
MTG
MTW
MU
MUR
MWV
MNST
MYL
NAV
NAVI
NBL
NBR
NCC
NCLH
NDAQ
NE
FPL
NEM
NFLX
NFX
NI
NILE
NKE
NLSN
NOC
NOV
NOVL
NRG
NSC
NSM
NTAP
NTRS
NUE
NUS
NVDA
NVLS
NWL
NWS
QSII
NYT
O
ODP
OFLX
OI
OKE
OMC
OMX
ORCL
ORLY
OXY
PAYX
PBCT
PBG
PBI
PCAR
PCG
PCL
PCP
PDCO
PEG
PEP
PETM
PETS
PFE
PFG
PFIE
PG
PGN
PGR
PH
PHM
PKG
PKI
PLD
PLD
PLL
PM
PNC
PNR
PNW
POM
PPG
PPL
PRGO
PRU
PSA
PSX
PMTC
PTV
PVH
PWR
PX
PXD
PYPL
Q
QCOM
QLGC
QRVO
R
RAD
RAI
ACXM
RAVN
RCL
RDC
RE
REG
REGN
RF
RHI
RHT
RIG
RJF
RL
RMD
ROH
ROK
ROP
ROST
RRC
RRD
RSG
RSH
RTN
RX
S
SAF
SAM
SANM
SAPE
SBAC
SBL
SBUX
SCG
SCHW
SE
SEE
SGP
SHLD
SHW
SIAL
SIG
SII
DDR
SJM
SLB
SLG
SLM
SNA
SNDK
SNI
SNPS
SO
SOV
SPG
MHP
SPLS
SRCL
SRE
SSP
STI
STJ
STR
STT
STX
STZ
SUN
WFR
SVU
SWK
SWKS
SWN
SWY
SYF
SYK
SYMC
SYNT
SYY
T
TAP
TDC
TDG
TE
TEG
TEL
TER
TEX
GCI
TGT
THC
TIE
TIF
TIN
TJX
TKR
TLAB
TMK
TMO
COH
TRIP
TROW
TRV
TSCO
TSLA
TSN
TSS
TT
TWC
TWTR
TWX
TXN
TXT
TYC
UA
UAL
UDR
UG
UHS
UIS
ULTA
UNH
UNM
UNP
UPS
URBN
URI
USB
UST
UTX
V
VAR
VFC
VIA
JDSU
VIVO
VLO
VMC
VNO
VRSK
VRSN
VRTX
VTR
VZ
WAG
WAT
WB
WBA
WDC
WDR
WEC
HCN
WEN
WFC
WFMI
WFT
WHR
WINA
WIN
WLTW
WM
WM
WMB
WMT
WPX
WRK
WU
WWY
WY
WYE
WYN
WYNN
X
XEC
XEL
XL
XLNX
XOM
XRAY
XRX
XTO
XYL
YHOO
YUM
ZMH
ZION
ZTS
